variety,section,HPH,nanopaper,strip,weight,modulus_star,toughness_star,TI_star
Yemen,Stem,M,2,7,0.1959,6.01,1.87,103.5943185
Yemen,Stem,M,2,8,0.1969,,,
Yemen,Stem,H,1,1,0.2084,7.16,2.99,109.2357294
Yemen,Stem,H,1,2,0.2085,7.7,2.51,105.9145683
Yemen,Stem,H,1,3,0.2081,7.21,2.16,101.4716699
Yemen,Stem,H,1,4,0.2072,7.4,3.44,116.869083
Yemen,Stem,H,1,5,0.2061,6.82,3.86,119.6437555
Yemen,Stem,H,1,6,0.2086,7.18,3.77,118.4906951
Yemen,Stem,H,1,7,0.2067,,,
Yemen,Stem,H,1,8,0.2056,7.03,2.55,104.371284
Yemen,Stem,H,2,1,0.2058,7.94,3.05,109.5494497
Yemen,Stem,H,2,2,0.2079,7.29,2.24,100.5181818
Yemen,Stem,H,2,3,0.2086,6.97,2.16,99.99657958
Yemen,Stem,H,2,4,0.2046,7.12,2.54,104.647434
Yemen,Stem,H,2,5,0.2058,7.34,2.4,105.3607872
Yemen,Stem,H,2,6,0.2075,7.51,2.35,102.7779398
Yemen,Stem,H,2,7,0.2069,7.19,1.53,91.73892702
Yemen,Stem,H,2,8,0.2076,7.54,3.79,119.4622543
GreenleafBMR,Leaf,L,1,1,0.1918,7.39,1.61,88.91264468
GreenleafBMR,Leaf,L,1,2,0.1942,7.1,1.69,88.41392379
GreenleafBMR,Leaf,L,1,3,0.1937,6.93,1.22,80.26606092
GreenleafBMR,Leaf,L,1,4,0.1919,7.6,1.22,82.77856696
GreenleafBMR,Leaf,L,1,5,0.1949,7.27,0.73,69.55887122
GreenleafBMR,Leaf,L,1,6,0.1925,6.73,1.49,84.99123117
GreenleafBMR,Leaf,L,1,7,0.1929,7.69,1.16,80.67614697
GreenleafBMR,Leaf,L,1,8,0.1919,7.11,1.08,80.1285852
GreenleafBMR,Leaf,L,2,1,,,,
GreenleafBMR,Leaf,L,2,2,,,,
GreenleafBMR,Leaf,L,2,3,,,,
GreenleafBMR,Leaf,L,2,4,,,,
GreenleafBMR,Leaf,L,2,5,,,,
GreenleafBMR,Leaf,L,2,6,,,,
GreenleafBMR,Leaf,L,2,7,,,,
GreenleafBMR,Leaf,L,2,8,,,,
GreenleafBMR,Leaf,M,1,1,0.2164,,,
GreenleafBMR,Leaf,M,1,2,0.2201,7.66,1.24,83.13840981
GreenleafBMR,Leaf,M,1,3,0.2176,7.7,2.5,101.6075184
GreenleafBMR,Leaf,M,1,4,0.217,7.72,2.26,97.66228687
GreenleafBMR,Leaf,M,1,5,0.2165,7.38,2.1,95.00117321
GreenleafBMR,Leaf,M,1,6,0.216,7.59,2.92,103.7688125
GreenleafBMR,Leaf,M,1,7,0.2161,7.74,2.72,100.7154975
