Sample_name,Variety,Replicate,Section,HPH,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Yemen-3-Stem(<1m)-H,Yemen,3,Stem(<1m),H,3,33934,42.415,236,320,435,330,19.3,0.0861,1.074,130.831,5.638,5.369,1.849,35.973,567948,685.695,35.687,70.556,63.884,591,34
Yemen-3-Stem(<1m)-H,Yemen,3,Stem(<1m),H,4,35571,41.425,238,324,444,336,19.4,0.0875,1.063,130.991,5.732,5.426,1.869,35.706,593494,669.842,35.341,70.336,63.526,592,34
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,1,50149,38.02,243,340,486,349,20.8,0.09,1.04,109.13,2.39,5.17,1.3,33.03,284611,207.46,23.3,51.04,40.55,856,41
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,2,50161,39.03,244,343,491,354,20.8,0.09,1.05,108.83,2.44,5.11,1.31,32.02,287187,214.81,23.36,51.13,40.44,853,41
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,3,50204,37.43,246,346,491,352,20.8,0.09,1.04,109.1,2.47,5.13,1.27,32.12,290433,208.46,23.07,50.86,40.49,850,41
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,4,50099,38.41,245,346,497,353,20.8,0.09,1.04,106.12,2.34,5.15,1.26,32.4,290042,213.57,23.11,51.29,40.58,853,41
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,1,50250,43.61,245,339,475,344,19.2,0.08,1.06,124.37,3.96,4.98,1.44,32.5,313048,261.14,24.18,51.95,42.08,805,40
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,2,50080,42.58,245,343,489,349,19.2,0.08,1.06,126.49,3.83,4.91,1.43,33.17,317095,259.5,24.4,52.24,42.26,802,40
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,3,50048,43.21,245,341,481,348,19.1,0.08,1.05,124.81,3.7,4.9,1.5,32.83,314691,261.79,24.66,52.27,42.11,798,40
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,4,50069,42.09,245,341,478,347,19.2,0.08,1.06,124.09,3.87,4.95,1.46,32.91,318537,257.47,24.86,52.31,42.28,796,39
