Biomass,Section,Level,Nanopaper,Strip,weight,thickness,density,porosity,grammage,strain_star,UTS_star,E_star,toughness_star,TI_star
Banana,Stem,L,1,8,0.1968,0.1007,0.868586561,40.50776981,87.46666667,1.93,80.27,5.78,0.89,92.41450838
Banana,Stem,L,2,1,0.1963,0.1008,0.865520282,40.71778889,87.24444444,2.27,87.45,6.45,1.14,101.0374936
Banana,Stem,L,2,2,0.1928,0.0994,0.862061256,40.95470846,85.68888889,2.72,95.6,6.58,1.49,110.8969917
Banana,Stem,L,2,3,0.1972,0.1006,0.871217142,40.32759304,87.64444444,2.36,91.74,6.05,1.28,105.3009584
Banana,Stem,L,2,4,0.1934,0.097,0.886139748,39.30549671,85.95555556,1.71,79.37,6.83,0.79,89.56826525
Banana,Stem,L,2,5,0.1959,0.1029,0.846128928,42.04596385,87.06666667,1.75,76.63,6.24,0.8,90.56539433
Banana,Stem,L,2,6,0.196,0.1041,0.83680222,42.68477945,87.11111111,2.19,84.04,6.31,1.13,100.4299439
Banana,Stem,L,2,7,0.1977,0.1042,0.84325016,42.24313973,87.86666667,2.59,92.9,6.34,1.48,110.1689681
Banana,Stem,L,2,8,0.1975,0.1007,0.871676045,40.29616127,87.77777778,1.86,80.24,6.28,0.89,92.05254684
Banana,Stem,M,1,1,0.229,0.1203,0.846033065,42.05252976,101.7777778,2.26,79.66,5.91,1.11,94.15707642
Banana,Stem,M,1,2,0.2284,0.1177,0.862456339,40.92764801,101.5111111,2.29,81.67,5.56,1.15,94.69464864
Banana,Stem,M,1,3,0.2286,0.1153,0.881179532,39.64523756,101.6,2.33,83.44,5.51,1.19,94.69125984
Banana,Stem,M,1,4,0.2279,0.1152,0.879243827,39.77782006,101.2888889,2.69,90.94,5.38,1.5,103.429785
